auc,delta_dp,lr,beta,gamma,epochs,data_frac
0.7306275260653904,0.1941710747529421,0.0001,20.0,5.0,10.0,1.0
0.7207652769114596,0.2120238241686144,0.0001,20.0,5.0,30.0,1.0
0.7338846039193485,0.2201480296879484,0.0001,20.0,5.0,60.0,1.0
0.730201951630362,0.2374625825234756,0.0001,20.0,5.0,90.0,1.0
0.7253090981356834,0.2076977488005904,0.0001,20.0,10.0,10.0,1.0
0.7265117842924901,0.1836121704186656,0.0001,20.0,10.0,30.0,1.0
0.7282981392460625,0.2190613851642269,0.0001,20.0,10.0,60.0,1.0
0.7289441551150624,0.1974105055972445,0.0001,20.0,10.0,90.0,1.0
0.7288150076082913,0.2593799975396728,0.0001,100.0,0.1,10.0,1.0
0.7293229692459149,0.2079642842498053,0.0001,100.0,0.1,30.0,1.0
0.7157212874336414,0.1496123203869682,0.0001,100.0,0.1,60.0,1.0
0.7322190464182303,0.2409839258621397,0.0001,100.0,0.1,90.0,1.0
0.7214929841451952,0.2204094394554476,0.0001,100.0,1.0,10.0,1.0
0.7249766268062907,0.18740517488826,0.0001,100.0,1.0,30.0,1.0
0.7214598622630706,0.1957959158568089,0.0001,100.0,1.0,60.0,1.0
0.7285597742813317,0.1968774346988149,0.0001,100.0,1.0,90.0,1.0
0.7232040494423415,0.2388208881781276,0.0001,100.0,5.0,10.0,1.0
0.7218081986956658,0.2039149956944273,0.0001,100.0,5.0,30.0,1.0
0.7201401361782525,0.1720906245554132,0.0001,100.0,5.0,60.0,1.0
0.732827765377947,0.1952474679132324,0.0001,100.0,5.0,90.0,1.0
0.7296299729096404,0.2079694099315208,0.0001,100.0,10.0,10.0,1.0
0.7316442843460698,0.2124413145539906,0.0001,100.0,10.0,30.0,1.0
0.7221157590296792,0.209589125353672,0.0001,100.0,10.0,60.0,1.0
0.7287298370542568,0.2022850289088448,0.0001,100.0,10.0,90.0,1.0
0.7321143924041227,0.218518062902366,0.0001,1000.0,0.1,10.0,1.0
0.7111827545771517,0.2723736006888916,0.0001,1000.0,0.1,30.0,1.0
0.716030796113662,0.1729710011751011,0.0001,1000.0,0.1,60.0,1.0
0.6800941106788567,0.1661687295490112,0.0001,1000.0,0.1,90.0,1.0
0.6826048328444376,0.1676456718743592,0.0001,1000.0,1.0,10.0,1.0
0.7189357800105823,0.1849480722720159,0.0001,1000.0,1.0,30.0,1.0
0.6979056115426697,0.1661687295490112,0.0001,1000.0,1.0,60.0,1.0
0.6973979282401899,0.1622919334186939,0.0001,1000.0,1.0,90.0,1.0
0.6974798979400694,0.1877400768245838,0.0001,1000.0,5.0,10.0,1.0
0.6996048475962002,0.2019846350832266,0.0001,1000.0,5.0,30.0,1.0
0.706864106484346,0.2266371427399844,0.0001,1000.0,5.0,60.0,1.0
0.7037514845700737,0.2136486652724812,0.0001,1000.0,5.0,90.0,1.0
0.701196924619328,0.204865556978233,0.0001,1000.0,10.0,10.0,1.0
0.7215198434865819,0.184688563578956,0.0001,1000.0,10.0,30.0,1.0
0.7180531792692644,0.1807333902404325,0.0001,1000.0,10.0,60.0,1.0
0.7184843204071709,0.1761274719021197,0.0001,1000.0,10.0,90.0,1.0
0.6498221020927741,0.1754982162627629,1e-05,100.0,0.1,60.0,1.0
0.6609374005642646,0.1843138667723458,1e-05,100.0,0.1,60.0,1.0
0.6332623383127446,0.1267207926549692,1e-05,100.0,0.1,60.0,1.0
0.6363611278346377,0.1248602293186771,1e-05,100.0,0.1,60.0,1.0
0.6548121384055219,0.2124504394032291,1e-05,100.0,0.1,60.0,1.0
0.671165210738737,0.2178240286499215,1e-05,100.0,0.1,60.0,1.0
0.6761797644429774,0.219422150882825,1e-05,100.0,0.1,60.0,1.0
0.6592878610693371,0.2241814722380093,1e-05,100.0,0.1,60.0,1.0
0.6818565198625647,0.1701091132626402,1e-05,100.0,0.1,60.0,1.0
0.6525612848076616,0.1329792883696229,1e-05,100.0,0.1,60.0,1.0
0.68354737942787,0.2309593023255813,1e-05,100.0,0.1,92.0,0.65
0.6518857236528137,0.1166405541354003,1e-05,100.0,0.1,92.0,0.65
0.6294066131633089,0.1486638425457973,1e-05,100.0,0.1,92.0,0.65
0.630781521297425,0.1669911012235817,1e-05,100.0,0.1,92.0,0.65
0.6418824525785477,0.1424427575140406,1e-05,100.0,0.1,92.0,0.65
0.6705735174312072,0.1317707749243019,1e-05,100.0,0.1,92.0,0.65
0.6255468066491688,0.1454279918864097,1e-05,100.0,0.1,92.0,0.65
0.6384898044842054,0.1847982708933717,1e-05,100.0,0.1,92.0,0.65
0.6431188273373618,0.1257597218645377,1e-05,100.0,0.1,92.0,0.65
0.683256599648902,0.186707541385653,1e-05,100.0,0.1,92.0,0.65
0.6682596554269558,0.1413700363866476,1e-05,100.0,0.1,150.0,0.4
0.6445228918517691,0.2326196140629129,1e-05,100.0,0.1,150.0,0.4
0.6415360375904993,0.2211601200574187,1e-05,100.0,0.1,150.0,0.4
0.6261305465947015,0.1826218487394958,1e-05,100.0,0.1,150.0,0.4
0.5919442047542169,0.1677715765779655,1e-05,100.0,0.1,150.0,0.4
0.6508674521918518,0.1477183833116035,1e-05,100.0,0.1,150.0,0.4
0.6401362379679238,0.0871798555982614,1e-05,100.0,0.1,150.0,0.4
0.6348744262352305,0.1822811255467781,1e-05,100.0,0.1,150.0,0.4
0.6692363428619204,0.2006715701950751,1e-05,100.0,0.1,150.0,0.4
0.6488118846327803,0.2920929645067576,1e-05,100.0,0.1,150.0,0.4
0.6603047998860562,0.186354961832061,1e-05,100.0,0.1,240.0,0.25
0.64665636921269,0.1404110697523871,1e-05,100.0,0.1,240.0,0.25
0.6202998081371371,0.2793168880455408,1e-05,100.0,0.1,240.0,0.25
0.5779208626682114,0.267466925905575,1e-05,100.0,0.1,240.0,0.25
0.6747169171304748,0.1719105455947561,1e-05,100.0,0.1,240.0,0.25
0.6297115630051902,0.1791443850267379,1e-05,100.0,0.1,240.0,0.25
0.6455781885994011,0.155570652173913,1e-05,100.0,0.1,240.0,0.25
0.6732965813527522,0.2071572580645161,1e-05,100.0,0.1,240.0,0.25
0.6375536327867685,0.2216587784539103,1e-05,100.0,0.1,240.0,0.25
0.6651350208152452,0.1065759637188208,1e-05,100.0,0.1,240.0,0.25
0.6773463023463023,0.2029761904761904,1e-05,100.0,0.1,400.0,0.15
0.5393654088516568,0.1438776789071312,1e-05,100.0,0.1,400.0,0.15
0.5379754661918188,0.1477359519912711,1e-05,100.0,0.1,400.0,0.15
0.5420478710251718,0.1462432915921288,1e-05,100.0,0.1,400.0,0.15
0.5531954329774614,0.1862190122974819,1e-05,100.0,0.1,400.0,0.15
0.6521723013048636,0.1047619047619047,1e-05,100.0,0.1,400.0,0.15
0.6384364820846905,0.1524216524216524,1e-05,100.0,0.1,400.0,0.15
0.6826830174656262,0.3392546151166841,1e-05,100.0,0.1,400.0,0.15
0.6076723498888066,0.2855851201239989,1e-05,100.0,0.1,400.0,0.15
0.570911902623965,0.1845455992360337,1e-05,100.0,0.1,400.0,0.15
0.6296973727968075,0.1621973444415516,1e-05,100.0,0.1,600.0,0.1
0.6022932843505608,0.1368399424696939,1e-05,100.0,0.1,600.0,0.1
0.5704160760443592,0.1453634085213032,1e-05,100.0,0.1,600.0,0.1
0.5509796194122284,0.2529411764705882,1e-05,100.0,0.1,600.0,0.1
0.6001275510204082,0.1620564149226569,1e-05,100.0,0.1,600.0,0.1
0.6035148116271967,0.1933747412008282,1e-05,100.0,0.1,600.0,0.1
0.7396051492558152,0.2188967136150234,1e-05,100.0,0.1,600.0,0.1
0.7289173315602837,0.3284313725490195,1e-05,100.0,0.1,600.0,0.1
0.600288160483223,0.2551594746716698,1e-05,100.0,0.1,600.0,0.1
0.6411111111111112,0.15384615384615385,1e-05,100.0,0.1,600.0,0.1
